index,caption
0,Two young guys with shaggy hair look at their hands while hanging out in the yard .
1,Several men in hard hats are operating a giant pulley system .
2,A child in a pink dress is climbing up a set of stairs in an entry way .
3,Someone in a blue shirt and hat is standing on stair and leaning against a window .
4,Two men  one in a gray shirt  one in a black shirt  standing near a stove .
5,Two people in the photo are playing the guitar and the other is poking at him .
6,A man sits in a chair while holding a large stuffed animal of a lion .
7,A girl is on rollerskates talking on her cellphone standing in a parking lot .
8,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
9,Two men in Germany jumping over a rail at the same time without shirts .
10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
11,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
12,A black dog and a white dog with brown spots are staring at each other in the street .
13,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
14,Some women are standing in front of a bus with buildings behind it .
15,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
16,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
17,a man sleeping on a bench outside with a white and black dog sitting next to him .
18,A group of adults  inside a home  sitting on chairs arranged in a circle  playing a type of musical instruments .
19,Two women  both wearing glasses  are playing clarinets and an elderly woman is playing a stringed instrument .
20,A person in gray stands alone on a structure outdoors in the dark .
21,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
22,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
23,two children  a girl and a boy are practicing their writing .
24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
25,The man with pierced ears is wearing glasses and an orange hat .
26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
27,A man stands on one foot while holding on to a waste basket .
28,A small child grips onto the red ropes at the playground .
29,Young man in jacket holding a toothpick with something on the end of it
30,Young blond man in a blue and yellow jacket smiling while standing in front of a net .
31,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
32,Five people walking with a multicolored sky in the background .
33,A man with black hair sits in a restaurant with a glass of beer .
34,A black and white dog is running in a grassy garden surrounded by a white fence .
35,An officer in a reflective vest stands at the front of his van with his dog .
36," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
37,Five men  uniformly dressed in white shirts  tie and black slacks converse at the back of an open van .
38,A tan man with a backwards hat looks at the camera while walking through a factory .
39,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
40,Man wearing a blue and white outfit  holding a broom  with a traditional Asian architecture in the background .
41,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
42,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
43,A person in tan pants is inside a silver mobile object while people watch .
44,A man in black approaches a strange silver object containing a person  while many onlookers observe from behind a roped off barrier .
45,bride and groom walking side by side out of focus on pathway next to brick building .
46,A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
47,White dog with brown ears standing near water with head turned to one side .
48,A group of people picnicking at picnic tables in front of a playground .
49,Two asian or spanish people  a woman and a man  sitting together in front of a glass window as cars pass .
50,Women are seated at a picnic table eating  while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
51,A young female student performing a downward kick to break a board held by her Karate instructor .
52,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .
53,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .
54,A man with a red jacket is shielding himself from the sun trying to read a piece of paper .
55,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
56,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
57,A mottled black and gray dog in a blue collar jumping over a fallen tree .
58,Men in the business suits are crossing the street  and there are people with placards are gathering on the street .
59,A man in a red long-sleeved shirt bikes over a body of water on a bridge .
60,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
61,The white and brown dog is running over the surface of the snow .
62,Man on scooter attracts attention from some of those in large crowd .
63,A person wearing skis looking at framed pictures set up in the snow .
64,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
65,A young gymnast  jumps high in the air  while performing on a balance beam .
66,a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .
67,A group of people stand in the back of a truck filled with cotton .
68,a woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck .
69,A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .
70,Large brown dog running away from the sprinkler in the grass .
71,A man and a little girl happily posing in front of their cart in a supermarket .
72,A dog prepares to catch a thrown object in a field with nearby cars .
73,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
74,A white dog is trying to catch a ball in midair over a grassy field .
75,Two men are hiking in a forest where snow is partially covering the ground .
76,An elderly man with facial hair and glasses  standing in his living room holding a hutch cabinet with glass doors .
77,two guys sitting on the floor  with the guy in the green jacket reading a piece of paper .
78,A bearded man wearing glasses  a red shirt  and a hat is reading a map while sitting in a car .
79,a large lake with a lone duck swimming in it with several people around the edge of it .
80,A couple and an infant  being held by the male  sitting next to a pond with a nearby stroller .
81,Three men are standing at night near a black car near a shelter filled with bicycles .
82,A black lab with tags frolicks in the water .
83,A man is drilling through the frozen ice of a pond .
84,Two different breeds of brown and white dogs play on the beach .
85,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
86,Two young men and a young lady walk through a field near the water .
87,A man in black attire shovels snow into the street  disregarding all public safety .
88,A couple in their wedding attire stand behind a table with a wedding cake and flowers .
89,Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat  white coat  red coat  blue coat  and black coat .
90,A black dog carries a green toy in his mouth as he walks through the grass .
91,A group of woman and children are standing or sitting in front of rows of vegetables .
92,A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
93,A young woman with short blond-hair wearing jeans and a striped long-sleeved sweater jumping in midair on a skateboard with trees in the background .
94,A man and a little boy in blue life jackets are rowing a yellow canoe .
95,A little boy looks at the camera while a woman behind him seems to be laughing very hard and the woman on the right has a big smile on her face .
96,A construction site on a street with three men working .
97,Two men sitting on the roof of a house while another one stands on a ladder .
98,Two men  one younger guy with a yellow shirt that has luggage and the other and older guy  are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .
99,An adult wearing a gray shirt with red sleeves sleeping on a couch .
100,Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .
101,During a gay pride parade in an Asian city  some people hold up rainbow flags to show support .
102,A young man in a blue sweater cleaning fish while three other men watch  one a man a cigarette  or match in his month .
103,Woman in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .
104,Four college-aged individuals - two males and two females - sitting on the concrete steps outside of a brick building
105,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
106,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
107,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
108,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .
109,Two men  standing on an ice  looking into something covered with a blue tarp .
110,Three dogs are standing in the grass and a person is sitting next to them
111,There is a skyscraper in the distance with a man walking in front of the camera .
112,A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
113,A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits .
114,a young child with a Band-Aid on his head sits eating at a small white table with a little girl eating off a yellow plate .
115,A small boy putting something in his mouth with both hands .
116,A man with wild hair rocks a show playing a guitar center stage .
117,A person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .
118,A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .
119,A man in black with long hair playing a guitar with stickers on it .
120,A man in a black shirt crouches next to a dirty unfinished concrete edge while several shovels and other tools lean against a tree nearby .
121,A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .
122,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .
123,Someone is standing on a long bridge with a cloudy blue sky in the background .
124,A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
125,Young white boy on a grassy area with a sad expression on his face .
126,A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above .
127,Three people are on a hilltop overlooking a green valley .
128,A group of tourists is crossing a bridge that connects a walking path to a trail of nature .
129,A young boy wearing a jersey looks down over a ledge at many boats in the water .
130,A older man holds an object and is looking at two young girls that sit across from him at a table that is outside .
131,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
132,A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .
133,A group of 11 people in winter wear such as beanies  skiing jackets  gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them .
134,A baseball player in red leaps into the air to avoid a player in blue  who is shortly behind him as he catches the ball  while other blue team members look on in the background .
135,A man in the foreground wearing a white shirt and black pants riding a bicycle with a basket in a busy street .
136,A man on a ladder is painting a brick wall in a warehouse .
137,A man wearing a hat and a white shirt is cleaning windows .
138,a blond-haired man with glasses and a blank tank top is sitting next to another man with glasses and headphones while sitting on a train .
139,Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street .
140,A young man sits on the floor by the television with a fast food meal in front of him .
141,Several asian people are eating together around a table .
142,A woman with flowers in her hair balances a large bowl of assorted fruits on her head .
143,A man wearing a gray jacket and blue work pants is standing in a hole in the ground
144,A shirtless young boy on a bicycle too big for him being supported by 3 other young shirtless boys in a grass field .
145,A man in a bandanna and a dirty t-shirt  and a woman in a graphic t-shirt  are standing next to a oblong hole with smoke coming out .
146,This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger  her feet or her sleepy smile .
147,An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .
148,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .
149,a couple of several people sitting on a ledge overlooking the beach
150,A group of men and women are hiking through a dried up river bed littered with large rocks  which runs between two rocky walls in a dense green forest .
151,A man with a badge is standing on a wood floor next to a structure .
152,Two women in colorful dresses are sweeping water out of the street while a man watches .
153,Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .
154,A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house
155,A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .
156,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
157,Two little children  one boy and one girl  laugh as they sit on the grass .
158,Young woman holding a bottle  reaching out from a bench to shake a man 's hand .
159,Man talking on a microphone and a crowd of people in front of him .
160,A girl paddling down a large river  as seen from behind her .
161,a girl with pigtails is playing in the ocean by the beach .
162,A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street .
163,Two people sitting beside each other at a table with food on it smiling .
164,White wine and appetizers on are displayed in an upscale restaurant .
165,A group of four children wearing pajamas have a pillow fight .
166,Two construction workers are sitting up on the side of a building .
167,A smiling little boy holds a hand mixer in a bowl .
168,Two boys  one with a yellow and orange ball  play in some water in front of a field .
169,A woman with blond-hair wearing a blue tube top is waving on the side of the street .
170,A young girl sits on a seat and looks at a train pamphlet .
171,Two Asian girls laughing  as the girl on the right holds an instrument .
172,Several people jogging outside on a sunny day in what seems to be a neighborhood  could be part of a marathon .
173,Two dogs run towards each other on a rocky area with water in the background .
174,A kid jumps off the diving board and into the swimming pool below .
175,A guy stands by a window taking his overshirt off .
176,A white dog is running down a rocky beach .
177,A young man is bathing  with only his shorts on  in a large wooden pale .
178,A person is sleeping on a bench on the sidewalk  across the street from a bus stop .
179,Two young girls are playing in the forest ; the younger one is climbing a short tree and is about 2 feet off the ground .
180,It looks as though a soldier is sleeping in a car on his way home after a deployment .
181,Pink shirted woman sleeping in a car with blue and white blanket on her .
182,One man wearing a white shirt is flipping a pancake by flinging it into the air .
183,Firefighters converse with a man at the scene of an emergency .
184,A few firefighters  wearing black  yellow  and pink jackets  standing next to a firetruck .
185,A man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .
186,A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
187,A newsstand so packed with magazines  candy and coke-a-cola products that the smiling woman working behind the counter is easy to miss .
188,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .
189,A man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both .
190,Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat .
191,A young boy in swimming trunks is walking with his arms outstretched on the beach .
192,A skier is overlooking the beautiful white snow covered landscape .
193,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .
194,A bunch of people in racing gear and helmets racing bicycles around a corner on wet pavement .
195,A boy in a pink T-shirt is riding a bike over a sand pile while two others are riding in the street .
196,Elderly man with cane bends down to look at some plants and is steadied from behind .
197,A male surgeon wearing a red cap and teal scrubs performing surgery with two other men wearing teal scrubs .
198,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .
199,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .
200,A white and black dog and a brown dog in sandy terrain .
201,A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .
202,A man in a black shirt is riding a mule trough the desert  with the sun shining in the background .
203,Two tired-looking men relax on a couch near a wooden trestle table with a coffee cup on it .
204,A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover .
205,A multicolor dog jumping to catch a tennis ball in a grassy field .
206,A young helmeted man  in his team uniform  is swinging his bat at an incoming baseball .
207,A man in a yellow shirt and black shorts getting ready to throw a javelin .
208,Seven large balloons are lined up at nighttime near a crowd .
209,A guy sitting at a desk talking on a phone with books laying everywhere .
210,Two brunette women in jackets sitting against a wall and looking at the same magazine .
211,Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear .
212,A young man is walking through a busy street beside a mall .
213,A little boy rides a bike down a hill on a miniature dirt bike .
214,A group of people sit around a table outside on a porch at night .
215,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
216,A child covered in foam is climbing on a black inflatable ramp .
217,A couple is sitting in a blue raft watching a lot of people in bathing suits on a boat .
218,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat .
219,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
220,A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
221,A large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .
222,Two people are preparing food in a restaurant kitchen .
223,Two young boys are looking at the camera  one smiling  the other sticking his tongue out .
224,A person with brown pants is sitting around a fenced area that has sparks flying .
225,A mother decides to take her child on a piggyback ride outside their apartment complex .
226,A woman is resting against a cross shaped pole while looking towards a large body of water .
227,A group of people on a riverbank some sitting on the grass some standing .
228,A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .
229,Two men shoveling snow off a railroad track dressed in bright orange snowsuits .
230,A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel .
231,A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
232,Two gentlemen in baseball caps and shirts  work on the engine of an old  rusted VW beetle .
233,A man kneels on the ground doing some sort of project on his own .
234,A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads  a microwave and the chalkboard menu up on the wall .
235,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
236,A man and woman sitting on a deck next to a lake .
237,There are workers laying out the tracks for a trolley .
238,A construction worker in a neon vest is working with electrical equipment while sparks fly .
239,A woman with red-brown hair and dark painted fingernails is carefully applying mascara .
240,A white dog is resting its head on a tiled floor with its eyes open .
241,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
242,Looks like everyone is getting good gas mileage here with all these beautiful scooters !
243,The regional park police helicopter is preparing to land .
244,An older  male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
245,A group of people are either standing or sitting  some are wearing hats and scarves  while some are not .
246,A young boy jumping and a young girl sitting in an inflatable pool .
247,Several children playing on a Polaris vehicle outdoors .
248,An older woman stir fries vegetables in a home kitchen  with a counter crowded with jars and bottles in the background .
249,The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
250,Two people wearing yellow jackets crosscountry skiing .
251,A lone skier is making their way up a mountain .
252,An Asian man in spectacles and a t-shirt preparing some food .
253,A light brown dog runs down a path happily .
254,A girl sitting on the steps of a building wearing a green short-sleeve shirt  blue jeans  flip-flops holding a cup and writing in a journal with her purse sitting at her feet .
255,People walk across a street as utility workers fix a light .
256,Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .
257,A woman stands with children on a boardwalk at night overlooking the sea .
258,Six males playing a game in the sand with wooden paddles .
259,A woman is laughing as two small boys play around her and a small girl climbs up her back .
260,A man in a black shirt and black jeans and a little boy are taking a look inside a green truck 's engine while it is parked in a grass field with a gas tank in front of it .
261,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
262,Two golden brown horses pull a sleigh driven by a woman in a blue coat .
263,Woman is enjoying herself being outdoors biking in a forrest preserve .
264,A person climbs a tall  flat mountain while holding onto a safety rope .
265,Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
266,A group of hikers are resting on the ground in front of some mountains .
267,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
268,Three young adults are sitting around  with the girl pretending to kick one of the guys in the face while laughing  and the guy behind him looks like he 's in midsentence .
269,A group of African American children with their arms above their heads and happy expressions on their faces .
270,A shirtless man jumping off a large concrete structure into a river with his friends watching from the structure .
271,A brown dog plays in a deep pile of snow .
272,A young black person wearing a green shirt and a jacket using a sewing machine .
273,An oriental woman with her fist raised in the air  other oriental people around her  and a black Moped beside her .
274,A woman smiles while holding several green peppers at a grocery stand .
275,An elderly woman with a cane sits in a large wooden chair next to a weaving loom  in a log cabin .
276,A little boy in a striped shirt and blue jeans is blowing bubbles from a red container .
277,A young boy is jumping through water being sprayed up from the ground .
278,The dog is running out of the tunnel on a dog obedience course .
279,A yellow dog and a black and white dog are running in the dirt .
280,Two men barbecuing on the grill with a little girl playing in background .
281,A girl in a floral bathing suit jumping on the beach in front of the waves .
282,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
283,A man in a white shirt is outside leaning against a rail with hats hanging beside him .
284,A black and white dog is being soaked with a jet of water in a blue paddling pool .
285,A smiling boy swims underwater in a pool .
286,A Little boy in a red striped shirt on a blue couch pulling out all the pillows .
287,A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
288,A girl in a polka dotted blue jean dress walks barefoot on a balance beam .
289,A boy wearing blue and yellow walking on a cliff edge .
290,A man gestures while facing a woman wearing glasses as they sit inside a restaurant that includes a yellow wall .
291,A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
292,Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
293,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
294,A young boy wearing a black shirt  brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs .
295,Two buildings beyond a concrete wall facing a walkway with a woman talking on a cellphone .
296,A very young girl playing with a bubble-blowing wand  holding a bottle of bubble solution and walking through a park or field .
297,Three people on ATVs in a brown field turn their heads to look at the camera .
298,A person is riding an orange ATV in a large empty field .
299,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
300,A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer .
301,A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done .
302,A mother and three children collecting garbage from a blue and white garbage can on the street .
303,A boy is jumping off the side of a running stone water fountain in front of a building .
304,Two women hugging in a grassy  fenced field with a cow 's behind in the background .
305,There are two men in orange life vests signaling to a cruise ship docking at a pier .
306,A man in sandals and white cardigan sits on a green bench while talking on his cellphone .
307,A man wearing a white tank top sings into a microphones on a stage with a crowd watching .
308,Three men are riding on an elephant with a shack in the background and two of them are wearing hats .
309,A man in a gray camouflage shirt and gray pants sits under the hood of a blue truck .
310,A young boy  wearing goggles and a heads-up light  and a young girl  are smiling .
311,A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street .
312,Young individuals in uniforms are gathering under the flags of several different countries .
313,A baby is crying while holding on to the side of a crib .
314,A couple is sitting on the sand with their feet in the water  and they are shaking hands .
315,A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
316,A woman is at an ice cream shop and she is waiting for the man to scoop her ice cream .
317,A man is eating alone at a table near another table where a man and woman are seated .
318,People are standing around an American flag that is spread out  facing the wrong direction .
319,A young girl with braids is painting with water colors on a white paper on the wall .
320,A man in aerodynamic gear riding a bicycle down a road around a sharp curve .
321,A little girl in a blue jeans vest is running across the grass and laughing .
322,A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand ; surrounded by numerous amounts of machines .
323,A couple show their affection on an escalator by embracing and kissing one another .
324,A rugby game being played  one man in a green jersey is being lifted up by his teammates with the ball  while a competitor in a red jersey is similarly lifted to tackle him .
325,Two men pushing wheelbarrows  two men looking at them  they are in the desert near some block construction buildings .
326,A young group of friends adorned with face paint and feathered headbands sit on a bench .
327,A woman is surprised to have her picture taken on this fall day outside Spaulding 's women 's store .
328,A woman standing with 3 other people in a store with two tables  some shelves with coffee and tea for sale  and a refrigerated drink case .
329,A man wearing a black jacket and gray slacks  stands on the sidewalk holding a sheet with something printed on it in his hand .
